Qt,Component,Aliexpress,Amazon,Open Builds
1,T-Slot 3030 Aluminium Profil  - 420 mm,https://s.click.aliexpress.com/e/_AkhOBd,https://amzn.to/3v4HVqA,
2,V-Slot 2020 Aluminium Profil  - 489 mm,https://s.click.aliexpress.com/e/_ACm2I7,https://amzn.to/3LR4Onp,
1,V-Slot 2020 Aluminium Profil  - 503 mm,https://s.click.aliexpress.com/e/_ACm2I7,https://amzn.to/3LR4Onp,
1,Linear Guide MGN12H - 484 mm,https://s.click.aliexpress.com/e/_A3g1AP,https://amzn.to/3v3cNb7,
2,Linear Guide MGN12H - 464 mm,https://s.click.aliexpress.com/e/_A3g1AP,https://amzn.to/3v3cNb7,
3,Linear Berring MGN12H,https://s.click.aliexpress.com/e/_9uANHN,https://amzn.to/3v3cNb7,
5m,GT2 Timing Belt,https://s.click.aliexpress.com/e/_A1IaUZ,https://amzn.to/3gZH2az,https://openbuildspartstore.com/gt2-2m-timing-belt-by-the-foot/?ref=mA1ciCf-vpubZS
2,GT2 Idler 16T,https://s.click.aliexpress.com/e/_Af2ysX,https://amzn.to/3s2FaV1,
10,GT2 Idler 16T toothless,https://s.click.aliexpress.com/e/_Af2ysX,https://amzn.to/3v0TZcr,
2,Nema 17 Stepper Motor,https://s.click.aliexpress.com/e/_99IXzR,https://amzn.to/3I8tF43,https://openbuildspartstore.com/nema-17-stepper-motor/?ref=mA1ciCf-vpubZS
2,GT2 Pulley 16T 5mm hole,https://s.click.aliexpress.com/e/_ALynrt,https://amzn.to/33C22kT,
